
Outlook                                          Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows 
Paint                                            Microsoft.Paint_8wekyb3d8bbwe!App                                     
Performance Monitor                              Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}        
Phone Link                                       Microsoft.YourPhone_8wekyb3d8bbwe!App                                 
Photos                                           Microsoft.Windows.Photos_8wekyb3d8bbwe!App                            
Power Automate                                   Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console              
Print Management                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc            
Python 3.13 (64-bit)                             C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python313\python...
Python 3.13 Manuals (64-bit)                     C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python313\Doc\ht...
Python 3.13 Module Docs (64-bit)                 Microsoft.AutoGenerated.{1C467FE9-CBE1-CE37-A07F-14504103A92B}        
Python 3.14 (64-bit)                             C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python314\python...
Python 3.14 Manuals (64-bit)                     C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python314\Doc\ht...
Python 3.14 Module Docs (64-bit)                 Microsoft.AutoGenerated.{0DCF6012-4707-B7AC-A53B-5A55B511713B}        
Python 3.9 (64-bit)                              C:\Users\DICT-10-pc0\AppData\Local\Programs\Python\Python39\python.exe
Python 3.9 Manuals (64-bit)                      Microsoft.AutoGenerated.{C0BA334D-8182-AFF2-7386-A30F63C0A7F8}        
Python 3.9 Module Docs (64-bit)                  Microsoft.AutoGenerated.{E653BE17-6526-866B-9F14-DE9715C0F852}        
Quick Assist                                     MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App                  
Rainmeter                                        {6D809377-6AF0-444B-8957-A3773F02200E}\Rainmeter\Rainmeter.exe        
Recovery Drive                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe              
Registry Editor                                  {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe                    
Remote Desktop Connection                        Microsoft.Windows.RemoteDesktop                                       
Resource Monitor                                 Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}        
Run                                              Microsoft.Windows.Shell.RunDialog                                     
Services                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc                   
Settings                                         windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immer...
Snipping Tool                                    Microsoft.ScreenSketch_8wekyb3d8bbwe!App                              
Solitaire & Casual Games                         Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App              
Sound Recorder                                   Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App                      
Steam                                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\Steam.exe                
Steam Support Center                             http://support.steampowered.com/                                      
Steps Recorder                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                        
Sticky Notes                                     Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App                      
